foundation_name,program_name,fiscal_year,description,target_org_types,target_issues,target_regions,amount_min_jpy,amount_max_jpy,amount_note,deadline,deadline_month_recurring,application_method,requires_registration,requires_legal_entity,min_operation_years,total_applicants_recent,total_adopted_recent,adoption_rate_pct,grant_url,pdf_url,status,data_completeness,data_source
石川県,石川県：「石川県なりわい再建支援補助金」≪第1回≫（令和8年度）,2026,,,その他,,2026,2026,,2026-04-01,4,,,,,,,,https://hojyokin-portal.jp/subsidies/71932,,unknown,partial,補助金ポータル
石川県,石川県：「石川県なりわい再建支援補助金」≪第2回≫（令和8年度）,2026,,,その他,,2026,2026,,2026-05-01,5,,,,,,,,https://hojyokin-portal.jp/subsidies/71931,,active,partial,補助金ポータル
石川県,石川県：「石川県なりわい再建支援補助金」≪第3回≫（令和8年度）,2026,,,その他,,2026,2026,,2026-06-01,6,,,,,,,,https://hojyokin-portal.jp/subsidies/71930,,upcoming,partial,補助金ポータル
石川県,石川県：「石川県なりわい再建支援補助金」≪第4回≫（令和8年度）,2026,,,その他,,2026,2026,,2026-07-01,7,,,,,,,,https://hojyokin-portal.jp/subsidies/71929,,upcoming,partial,補助金ポータル
石川県,石川県：「石川県なりわい再建支援補助金」≪第5回≫（令和8年度）,2026,,,その他,,2026,2026,,2026-07-27,7,,,,,,,,https://hojyokin-portal.jp/subsidies/71928,,upcoming,partial,補助金ポータル
石川県,石川県：「石川県なりわい再建支援補助金」≪第6回≫（令和8年度）,2026,,,その他,,2026,2026,,2026-08-24,8,,,,,,,,https://hojyokin-portal.jp/subsidies/71927,,upcoming,partial,補助金ポータル
石川県,石川県：「石川県なりわい再建支援補助金」≪第7回≫（令和8年度）,2026,,,その他,,2026,2026,,2026-09-24,9,,,,,,,,https://hojyokin-portal.jp/subsidies/71926,,upcoming,partial,補助金ポータル
福島県,福島県：「中央競馬馬主社会福祉財団助成金（施設整備等助成事業）」...,2026,,,地域コミュニティ|まちづくり,,,2000000,,2026-04-01,4,,,,,,,,https://hojyokin-portal.jp/subsidies/71920,,active,partial,補助金ポータル
東京都,東京都豊島区：「大規模修繕等への補助」,2026,,,高齢者・介護,,,7730000,,2026-05-29,5,,,,,,,,https://hojyokin-portal.jp/subsidies/71909,,active,partial,補助金ポータル
全国,「令和8年度食品産業省力化投資促進事業（飲食業労働生産性向上推進...,2026,,,食・フードバンク,,,20000000,,2026-03-26,3,,,,,,,,https://hojyokin-portal.jp/subsidies/71897,,unknown,partial,補助金ポータル
岩手県,岩手県岩泉町：「中小企業者等業務用省エネ電気製品買替支援事業補助...,2026,,,その他,,,150000,,2026-04-01,4,,,,,,,,https://hojyokin-portal.jp/subsidies/71831,,upcoming,partial,補助金ポータル
福岡県,福岡県久留米市：「令和8年度久留米市市民活動・絆づくり推進事業費...,2026,,,地域コミュニティ|まちづくり,,,1000000,,2026-04-01,4,,,,,,,,https://hojyokin-portal.jp/subsidies/71823,,unknown,partial,補助金ポータル
福岡県,福岡県久留米市：「令和8年度久留米市市民活動・絆づくり推進事業費...,2026,,,地域コミュニティ|まちづくり,,,1000000,,2026-05-08,5,,,,,,,,https://hojyokin-portal.jp/subsidies/71822,,unknown,partial,補助金ポータル
福岡県,福岡県久留米市：「令和8年度久留米市市民活動・絆づくり推進事業費...,2026,,,地域コミュニティ|まちづくり,,,1000000,,2026-07-10,7,,,,,,,,https://hojyokin-portal.jp/subsidies/71821,,active,partial,補助金ポータル
福岡県,福岡県久留米市：「令和8年度久留米市市民活動・絆づくり推進事業費...,2026,,,地域コミュニティ|まちづくり,,,1000000,,2026-09-11,9,,,,,,,,https://hojyokin-portal.jp/subsidies/71820,,upcoming,partial,補助金ポータル
福岡県,福岡県久留米市：「令和8年度久留米市市民活動・絆づくり推進事業費...,2026,,,地域コミュニティ|まちづくり,,2026,2026,,2026-04-01,4,,,,,,,,https://hojyokin-portal.jp/subsidies/71819,,unknown,partial,補助金ポータル
福岡県,福岡県久留米市：「令和8年度久留米市市民活動・絆づくり推進事業費...,2026,,,地域コミュニティ|まちづくり,,2026,2026,,2026-04-02,4,,,,,,,,https://hojyokin-portal.jp/subsidies/71818,,active,partial,補助金ポータル
福島県,福島県喜多方市：「喜多方市事業者省エネ設備更新支援補助金（本補助...,2026,,,その他,,,1000000,,2026-04-06,4,,,,,,,,https://hojyokin-portal.jp/subsidies/71805,,active,partial,補助金ポータル
福島県,福島県喜多方市：「喜多方市事業者省エネ設備更新支援補助金（本補助...,2026,,,その他,,,1000000,,2026-05-01,5,,,,,,,,https://hojyokin-portal.jp/subsidies/71804,,active,partial,補助金ポータル
兵庫県,兵庫県神戸市：「地域貢献活動補助金」（令和8年度）,2026,,,地域コミュニティ|まちづくり,,,400000,,2026-04-20,4,,,,,,,,https://hojyokin-portal.jp/subsidies/71788,,active,partial,補助金ポータル
山形県,山形県山形市：「建築物遮熱・断熱対策事業費補助金」（令和8年度）,2026,,,環境・気候変動,,,200000,,2026-04-23,4,,,,,,,,https://hojyokin-portal.jp/subsidies/71754,,active,partial,補助金ポータル
